GenderID,TimeID,AgeID,RaceEthnicityID,RegionID,Year,Region,Race or Ethnicity,Sex,Age Group,Firearm Deaths,Alcohol-Related Deaths,Suicide Deaths
1,FALSE,FALSE,1,2,2016,ROS,White Non Hispanic,Female,Total,40,746,202
1,FALSE,FALSE,3,1,2016,NYC,Asian/ Pacific Islander,Female,Total,0,27,30
2,FALSE,6,3,2,2016,ROS,Asian/ Pacific Islander,Male,65-74,0,7,1
2,FALSE,3,5,1,2016,NYC,Other,Male,35-44,1,2,3
2,FALSE,5,1,1,2016,NYC,White Non Hispanic,Male,55-64,4,149,45
2,FALSE,5,5,2,2016,ROS,Other,Male,55-64,0,6,0
1,FALSE,6,4,1,2016,NYC,Hispanic,Female,65-74,0,32,1
2,FALSE,FALSE,2,2,2016,ROS,Black Non Hispanic,Male,Total,112,150,50
2,FALSE,8,2,2,2016,ROS,Black Non Hispanic,Male,85+,0,1,0
2,FALSE,6,2,1,2016,NYC,Black Non Hispanic,Male,65-74,1,71,2
1,FALSE,5,2,1,2016,NYC,Black Non Hispanic,Female,55-64,1,68,4
1,FALSE,2,5,2,2016,ROS,Other,Female,25-34,0,1,0
1,FALSE,2,5,1,2016,NYC,Other,Female,25-34,0,0,1
2,FALSE,1,3,2,2016,ROS,Asian/ Pacific Islander,Male,20-24,3,1,2
1,FALSE,8,2,2,2016,ROS,Black Non Hispanic,Female,85+,0,0,0
1,FALSE,1,3,1,2016,NYC,Asian/ Pacific Islander,Female,20-24,0,0,3
2,FALSE,2,5,1,2016,NYC,Other,Male,25-34,1,2,0
2,FALSE,3,4,1,2016,NYC,Hispanic,Male,35-44,10,68,16
1,FALSE,6,2,1,2016,NYC,Black Non Hispanic,Female,65-74,0,31,2
2,FALSE,FALSE,3,1,2016,NYC,Asian/ Pacific Islander,Male,<1,0,0,0
1,FALSE,FALSE,2,2,2016,ROS,Black Non Hispanic,Female,Total,11,64,12
2,FALSE,3,5,2,2016,ROS,Other,Male,35-44,2,1,0
1,FALSE,FALSE,4,1,2016,NYC,Hispanic,Female,Total,7,165,22
1,FALSE,FALSE,5,1,2016,NYC,Other,Female,9-Jan,0,0,0
1,FALSE,6,5,2,2016,ROS,Other,Female,65-74,0,1,0
2,FALSE,7,4,2,2016,ROS,Hispanic,Male,75-84,1,7,1
1,FALSE,8,4,1,2016,NYC,Hispanic,Female,85+,0,14,0
1,FALSE,4,5,2,2016,ROS,Other,Female,45-54,0,1,0
1,FALSE,2,1,2,2016,ROS,White Non Hispanic,Female,25-34,4,28,19
2,FALSE,4,4,2,2016,ROS,Hispanic,Male,45-54,4,39,11
2,FALSE,FALSE,5,2,2016,ROS,Other,Male,Total,6,16,7
2,FALSE,FALSE,4,2,2016,ROS,Hispanic,Male,<1,0,0,0
2,FALSE,3,3,1,2016,NYC,Asian/ Pacific Islander,Male,35-44,1,16,7
2,FALSE,2,2,2,2016,ROS,Black Non Hispanic,Male,25-34,34,12,9
2,FALSE,6,4,1,2016,NYC,Hispanic,Male,65-74,0,84,4
2,FALSE,FALSE,2,2,2016,ROS,Black Non Hispanic,Male,9-Jan,0,0,2
1,FALSE,7,5,1,2016,NYC,Other,Female,75-84,0,1,0
2,FALSE,2,1,2,2016,ROS,White Non Hispanic,Male,25-34,39,80,94
1,FALSE,FALSE,5,2,2016,ROS,Other,Female,19-Oct,0,0,0
2,FALSE,3,4,2,2016,ROS,Hispanic,Male,35-44,9,27,8
2,FALSE,FALSE,4,1,2016,NYC,Hispanic,Male,<1,0,0,0
2,FALSE,7,2,2,2016,ROS,Black Non Hispanic,Male,75-84,1,7,2
1,FALSE,FALSE,2,2,2016,ROS,Black Non Hispanic,Female,19-Oct,5,0,2
1,FALSE,2,3,2,2016,ROS,Asian/ Pacific Islander,Female,25-34,0,0,4
1,FALSE,8,1,1,2016,NYC,White Non Hispanic,Female,85+,1,16,2
2,FALSE,FALSE,1,2,2016,ROS,White Non Hispanic,Male,Total,397,"1,715",788
2,FALSE,8,3,2,2016,ROS,Asian/ Pacific Islander,Male,85+,0,1,0
2,FALSE,3,3,2,2016,ROS,Asian/ Pacific Islander,Male,35-44,0,4,2
2,FALSE,5,4,1,2016,NYC,Hispanic,Male,55-64,0,152,8
1,FALSE,5,3,2,2016,ROS,Asian/ Pacific Islander,Female,55-64,0,1,1
2,FALSE,7,4,1,2016,NYC,Hispanic,Male,75-84,0,36,1
2,FALSE,FALSE,4,2,2016,ROS,Hispanic,Male,19-Oct,3,0,5
1,FALSE,7,3,1,2016,NYC,Asian/ Pacific Islander,Female,75-84,0,7,3
1,FALSE,3,5,2,2016,ROS,Other,Female,35-44,0,1,1
2,FALSE,4,5,1,2016,NYC,Other,Male,45-54,0,10,2
2,FALSE,1,2,2,2016,ROS,Black Non Hispanic,Male,20-24,30,3,11
2,FALSE,FALSE,4,1,2016,NYC,Hispanic,Male,9-Jan,0,0,0
2,FALSE,FALSE,4,1,2016,NYC,Hispanic,Male,Total,45,518,76
2,FALSE,7,1,1,2016,NYC,White Non Hispanic,Male,75-84,6,45,13
2,FALSE,7,3,2,2016,ROS,Asian/ Pacific Islander,Male,75-84,1,4,2
2,FALSE,3,1,2,2016,ROS,White Non Hispanic,Male,35-44,46,122,118
1,FALSE,FALSE,1,1,2016,NYC,White Non Hispanic,Female,9-Jan,0,0,0
2,FALSE,FALSE,1,2,2016,ROS,White Non Hispanic,Male,19-Oct,18,1,44
2,FALSE,2,1,1,2016,NYC,White Non Hispanic,Male,25-34,3,30,17
2,FALSE,1,4,1,2016,NYC,Hispanic,Male,20-24,11,4,8
1,FALSE,4,3,2,2016,ROS,Asian/ Pacific Islander,Female,45-54,0,1,1
2,FALSE,2,2,1,2016,NYC,Black Non Hispanic,Male,25-34,55,10,15
1,FALSE,4,1,1,2016,NYC,White Non Hispanic,Female,45-54,1,31,13
1,FALSE,FALSE,4,2,2016,ROS,Hispanic,Female,<1,0,0,0
1,FALSE,2,2,1,2016,NYC,Black Non Hispanic,Female,25-34,6,10,5
1,FALSE,7,4,1,2016,NYC,Hispanic,Female,75-84,0,25,1
1,FALSE,2,1,1,2016,NYC,White Non Hispanic,Female,25-34,4,9,16
1,FALSE,FALSE,3,2,2016,ROS,Asian/ Pacific Islander,Female,<1,0,0,0
2,FALSE,FALSE,1,2,2016,ROS,White Non Hispanic,Male,<1,0,0,0
1,FALSE,2,2,2,2016,ROS,Black Non Hispanic,Female,25-34,5,5,5
2,FALSE,6,1,2,2016,ROS,White Non Hispanic,Male,65-74,63,374,85
2,FALSE,FALSE,3,2,2016,ROS,Asian/ Pacific Islander,Male,9-Jan,0,0,0
1,FALSE,7,1,1,2016,NYC,White Non Hispanic,Female,75-84,0,24,8
1,FALSE,2,4,2,2016,ROS,Hispanic,Female,25-34,1,3,2
1,FALSE,FALSE,4,1,2016,NYC,Hispanic,Female,9-Jan,0,0,0
1,FALSE,FALSE,2,1,2016,NYC,Black Non Hispanic,Female,<1,0,1,0
2,FALSE,FALSE,5,2,2016,ROS,Other,Male,9-Jan,0,0,0
1,FALSE,FALSE,1,2,2016,ROS,White Non Hispanic,Female,9-Jan,0,0,0
2,FALSE,FALSE,1,1,2016,NYC,White Non Hispanic,Male,<1,0,0,0
1,FALSE,3,1,1,2016,NYC,White Non Hispanic,Female,35-44,1,12,14
1,FALSE,3,5,1,2016,NYC,Other,Female,35-44,0,1,0
1,FALSE,3,3,1,2016,NYC,Asian/ Pacific Islander,Female,35-44,0,2,2
2,FALSE,5,1,2,2016,ROS,White Non Hispanic,Male,55-64,83,567,157
1,FALSE,5,5,1,2016,NYC,Other,Female,55-64,0,7,2
2,FALSE,FALSE,2,1,2016,NYC,Black Non Hispanic,Male,9-Jan,0,0,0
1,FALSE,FALSE,1,1,2016,NYC,White Non Hispanic,Female,Total,11,158,87
2,FALSE,6,5,2,2016,ROS,Other,Male,65-74,1,3,1
1,FALSE,6,3,1,2016,NYC,Asian/ Pacific Islander,Female,65-74,0,5,1
1,FALSE,5,5,2,2016,ROS,Other,Female,55-64,0,0,0
2,FALSE,FALSE,2,1,2016,NYC,Black Non Hispanic,Male,Total,159,317,59
2,FALSE,2,5,2,2016,ROS,Other,Male,25-34,0,1,2
1,FALSE,1,5,1,2016,NYC,Other,Female,20-24,0,0,1
1,FALSE,4,1,2,2016,ROS,White Non Hispanic,Female,45-54,7,137,62
2,FALSE,FALSE,3,2,2016,ROS,Asian/ Pacific Islander,Male,19-Oct,0,0,1
2,FALSE,5,2,2,2016,ROS,Black Non Hispanic,Male,55-64,4,55,6
2,FALSE,FALSE,4,2,2016,ROS,Hispanic,Male,9-Jan,0,0,0
1,FALSE,5,4,1,2016,NYC,Hispanic,Female,55-64,0,43,4
1,FALSE,8,1,2,2016,ROS,White Non Hispanic,Female,85+,1,44,1
2,FALSE,4,3,2,2016,ROS,Asian/ Pacific Islander,Male,45-54,0,10,1
2,FALSE,FALSE,2,1,2016,NYC,Black Non Hispanic,Male,<1,0,0,0
2,FALSE,6,5,1,2016,NYC,Other,Male,65-74,0,8,1
1,FALSE,FALSE,4,1,2016,NYC,Hispanic,Female,<1,0,0,0
1,FALSE,2,4,1,2016,NYC,Hispanic,Female,25-34,0,8,3
1,FALSE,FALSE,3,1,2016,NYC,Asian/ Pacific Islander,Female,19-Oct,0,0,0
2,FALSE,FALSE,5,1,2016,NYC,Other,Male,19-Oct,0,0,0
2,FALSE,7,5,1,2016,NYC,Other,Male,75-84,0,3,0
2,FALSE,FALSE,3,2,2016,ROS,Asian/ Pacific Islander,Male,Total,8,35,16
1,FALSE,8,5,1,2016,NYC,Other,Female,85+,0,0,0
1,FALSE,1,1,1,2016,NYC,White Non Hispanic,Female,20-24,1,0,5
1,FALSE,FALSE,5,2,2016,ROS,Other,Female,<1,0,0,0
2,FALSE,8,2,1,2016,NYC,Black Non Hispanic,Male,85+,0,2,0
2,FALSE,FALSE,3,2,2016,ROS,Asian/ Pacific Islander,Male,<1,0,0,0
2,FALSE,4,1,1,2016,NYC,White Non Hispanic,Male,45-54,3,142,32
2,FALSE,8,1,1,2016,NYC,White Non Hispanic,Male,85+,1,11,6
2,FALSE,5,4,2,2016,ROS,Hispanic,Male,55-64,2,37,5
2,FALSE,4,1,2,2016,ROS,White Non Hispanic,Male,45-54,75,333,160
1,FALSE,FALSE,2,2,2016,ROS,Black Non Hispanic,Female,9-Jan,0,0,0
1,FALSE,FALSE,5,1,2016,NYC,Other,Female,<1,0,1,0
2,FALSE,8,1,2,2016,ROS,White Non Hispanic,Male,85+,14,55,22
1,FALSE,3,2,2,2016,ROS,Black Non Hispanic,Female,35-44,1,5,3
1,FALSE,FALSE,2,1,2016,NYC,Black Non Hispanic,Female,9-Jan,0,0,0
1,FALSE,7,5,2,2016,ROS,Other,Female,75-84,0,1,0
1,FALSE,5,4,2,2016,ROS,Hispanic,Female,55-64,0,16,1
1,FALSE,FALSE,1,2,2016,ROS,White Non Hispanic,Female,19-Oct,4,1,12
1,FALSE,7,2,2,2016,ROS,Black Non Hispanic,Female,75-84,0,3,0
2,FALSE,7,5,2,2016,ROS,Other,Male,75-84,0,2,0
2,FALSE,FALSE,5,1,2016,NYC,Other,Male,Total,4,45,6
1,FALSE,FALSE,5,2,2016,ROS,Other,Female,Total,0,5,1
1,FALSE,FALSE,4,1,2016,NYC,Hispanic,Female,19-Oct,0,0,3
1,FALSE,8,4,2,2016,ROS,Hispanic,Female,85+,0,1,0
1,FALSE,6,1,2,2016,ROS,White Non Hispanic,Female,65-74,4,155,20
1,FALSE,4,4,1,2016,NYC,Hispanic,Female,45-54,3,29,2
2,FALSE,FALSE,1,1,2016,NYC,White Non Hispanic,Male,9-Jan,0,0,0
1,FALSE,3,1,2,2016,ROS,White Non Hispanic,Female,35-44,10,57,29
1,FALSE,FALSE,4,2,2016,ROS,Hispanic,Female,19-Oct,0,0,2
1,FALSE,8,3,1,2016,NYC,Asian/ Pacific Islander,Female,85+,0,4,1
2,FALSE,4,3,1,2016,NYC,Asian/ Pacific Islander,Male,45-54,0,15,4
2,FALSE,2,3,1,2016,NYC,Asian/ Pacific Islander,Male,25-34,0,5,4
2,FALSE,3,2,1,2016,NYC,Black Non Hispanic,Male,35-44,29,20,9
2,FALSE,4,5,2,2016,ROS,Other,Male,45-54,2,3,2
2,FALSE,FALSE,4,1,2016,NYC,Hispanic,Male,19-Oct,6,0,5
1,FALSE,7,3,2,2016,ROS,Asian/ Pacific Islander,Female,75-84,1,3,2
2,FALSE,FALSE,2,1,2016,NYC,Black Non Hispanic,Male,19-Oct,9,0,1
1,FALSE,6,2,2,2016,ROS,Black Non Hispanic,Female,65-74,0,13,1
